shard_id,stage,dataset,source_work_packages,seed,methods,planned_training_runs,reuse_rule,atomic_match_group,estimated_gpu_hours,owner,kaggle_account,status,test_access,dependency
PILOT-D1-S42,1,TinyPerson,WP01,42,"standard; predecessor; ALW; SA-ALW",4,none,all_four_same_harness,TBD,TBD,TBD,BLOCKED,validation_only,"G1 and G2 pass; pre-run report"
PILOT-COMP-D1-S42,1,TinyPerson,WP01,42,"SA-ALW beta-only; SA-ALW position-only",2,"must match PILOT-D1-S42 account GPU hashes and budget",both_components_same_harness,TBD,TBD,TBD,BLOCKED,validation_only,"G1 and G2 pass; PILOT-D1-S42 assignment; pre-run report"
CORE-D1-S42,2,TinyPerson,"WP02;WP03",42,"standard; RFLA; NWD; predecessor; ALW; SA-ALW",6,none,all_six_same_harness,TBD,TBD,TBD,BLOCKED,validation_only,"PILOT-D1-S42 GO; pre-run report"
CORE-D1-S123,2,TinyPerson,"WP02;WP03",123,"standard; RFLA; NWD; predecessor; ALW; SA-ALW",6,none,all_six_same_harness,TBD,TBD,TBD,BLOCKED,validation_only,"PILOT-D1-S42 GO; pre-run report"
CORE-D1-S2024,2,TinyPerson,"WP02;WP03",2024,"standard; RFLA; NWD; predecessor; ALW; SA-ALW",6,none,all_six_same_harness,TBD,TBD,TBD,BLOCKED,validation_only,"PILOT-D1-S42 GO; pre-run report"
CORE-D2-S42,2,AI-TOD-v2,WP06,42,"standard; predecessor; ALW; SA-ALW",4,none,all_four_same_harness,TBD,TBD,TBD,BLOCKED,validation_only,"D2 images and G2 pass; PILOT-D1-S42 GO; pre-run report"
CORE-D2-S123,2,AI-TOD-v2,WP06,123,"standard; predecessor; ALW; SA-ALW",4,none,all_four_same_harness,TBD,TBD,TBD,BLOCKED,validation_only,"D2 images and G2 pass; PILOT-D1-S42 GO; pre-run report"
CORE-D2-S2024,2,AI-TOD-v2,WP06,2024,"standard; predecessor; ALW; SA-ALW",4,none,all_four_same_harness,TBD,TBD,TBD,BLOCKED,validation_only,"D2 images and G2 pass; PILOT-D1-S42 GO; pre-run report"
ABL-COMP-D1-S42,3,TinyPerson,WP04,42,A0-A6,6-7,"reuse A3 only if code/config/data/checkpoint-rule hashes match exactly",single_component_matrix,TBD,TBD,TBD,BLOCKED,validation_only,"core seed42 accepted; frozen ablation configs; pre-run report"
ABL-PLACE-D1-S42,3,TinyPerson,WP04,42,"assignment; regression; joint",2-3,"reuse joint only if all hashes match exactly",single_placement_matrix,TBD,TBD,TBD,BLOCKED,validation_only,"core seed42 accepted; frozen placement configs; pre-run report"
SENS-PCTL-D1-S42,3,TinyPerson,WP05,42,"P05/P95; P20/P80",2,"reuse P10/P90 reference when hashes match",single_sensitivity_axis,TBD,TBD,TBD,BLOCKED,validation_only,"G3 GO; endpoint protocol; pre-run report"
SENS-BETA-D1-S42,3,TinyPerson,WP05,42,"beta_max 9; beta_max 12",2,"reuse beta_max10 reference when hashes match",single_sensitivity_axis,TBD,TBD,TBD,BLOCKED,validation_only,"G3 GO; endpoint protocol; pre-run report"
SENS-POS-D1-S42,3,TinyPerson,WP05,42,"w_max 1.25; w_max 2.0",2,"reuse w_max1.5 reference when hashes match",single_sensitivity_axis,TBD,TBD,TBD,BLOCKED,validation_only,"G3 GO; endpoint protocol; pre-run report"
SENS-FORM-D1-S42,3,TinyPerson,WP05,42,log_linear,1,"reuse linear reference when hashes match",single_sensitivity_axis,TBD,TBD,TBD,BLOCKED,validation_only,"G3 GO; endpoint protocol; pre-run report"
AUDIT-EFF,4,"TinyPerson;AI-TOD-v2",WP07,"42;123;2024","predecessor; ALW; SA-ALW",0,accepted_checkpoints_only,same_T4_measurement_harness,TBD,TBD,TBD,BLOCKED,no_new_test_access,"accepted checkpoints; frozen measurement harness; pre-run report"
