claim_id,claim_type,claim_text,status,evidence_requirement,required_artifacts,current_evidence_ids,manuscript_locations,decision_note
C001,method,"Canonical ALW uses per-axis mean-square position normalization and squared log-ratio shape terms",enabled,"Formula, pseudocode, implementation, and unit tests must agree","method_spec.md;tests/test_alw_saalw.py","E024;E025","Method;Introduction","Enabled by canonical implementation and exact unit tests"
C002,property,"Canonical ALW is non-negative for positive-width and positive-height boxes before numerical clamping",enabled,"Formal derivation plus finite-value and non-negativity tests","method_spec.md;tests/test_alw_saalw.py","E024","Method;Supplement","Enabled for canonical ALW"
C003,property,"Canonical ALW is symmetric",enabled,"Formal proof plus swap-input unit test","method_spec.md;tests/test_alw_saalw.py","E024","Method;Supplement","Applies to ALW only"
C004,property,"Canonical ALW is dimensionless and jointly scale-invariant",enabled,"Formal proof plus joint-rescaling tests across scales and aspect ratios","method_spec.md;tests/test_alw_saalw.py","E024","Method;Supplement","Applies before numerical clamp and to ALW only"
C005,method,"SA-ALW is a target-conditioned extension of ALW using clipped beta and position-weight schedules",pending,"Canonical code, pseudocode, clipping tests, and frozen train-derived bounds must agree","method_spec.md;configs/frozen;tests/test_alw_saalw.py","E024;E046","Abstract;Method","Reference endpoints and sensitivity are preregistered; enable only after D1 bounds and G1"
C006,efficiency,"SA-ALW adds no learnable parameters",enabled,"Parameter-count parity under identical detector construction and checkpoint audit","results/efficiency.csv;phase_reports/phase_1_report.md","E025","Abstract;Method;Experiments","Synthetic detector smoke confirms exact parameter-count parity; do not rewrite as parameter-free"
C007,mechanism,"SA-ALW changes assignment behavior relative to canonical ALW",pending,"Assignment-change rate decomposed into threshold, top-k, and cross-GT conflict causes by scale bin","diagnostics/assignment_change_by_scale.csv","E043;E045","Method;Experiments","AI-TOD train-anchor sample confirms nonzero threshold-dominated changes; TinyPerson/full frozen-train artifact still required"
C008,mechanism,"SA-ALW rebalances center and shape optimization across target scales",pending,"Per-scale center-term and shape-term gradient norms under matched batches","diagnostics/gradient_by_scale.csv",E043,"Method;Experiments","Synthetic position-ranking reversal is technical only; do not claim removal of noisy gradients"
C009,performance,"SA-ALW improves mean COCO AP over the verified direct predecessor",disabled,"Three matched seeds, original-image evaluator, public D1, same selector and budget, paired image bootstrap CI","results/main_results.csv;results/bootstrap_ci.csv;runs/manifest.jsonl","E048;E049","Abstract;Introduction;Experiments;Conclusion","A4 falsified the primary claim: mean delta -0.001286 and AP 95% CI [-0.002939,0.001277]; Paper A performance work closed NO-GO"
C010,performance,"SA-ALW improves AP75 over the verified direct predecessor",disabled,"Three matched seeds and paired original-image uncertainty for AP75","results/main_results.csv;results/bootstrap_ci.csv","E048;E049","Abstract;Experiments;Conclusion","Mean AP75 delta is +0.001684 but 95% CI [-0.001778,0.004946] crosses zero; claim disabled under frozen rule"
C011,generalization,"The central SA-ALW gain transfers to a second public benchmark",disabled,"Matched evidence on AI-TOD-v2 with the same frozen method and evaluator contract","results/main_results.csv;runs/manifest.jsonl",E049,"Abstract;Experiments;Conclusion","Not pursued after the D1 primary AP NO-GO; no external diagnostic or matrix authorized"
C012,placement,"Assignment plus regression is the justified full placement for SA-ALW",disabled,"Matched assignment-only, regression-only, and joint ablation with fixed IoU-NMS","results/placement_ablation.csv;placement_audit.md",E049,"Method;Experiments","WP04 is closed by the A4 NO-GO; no new placement training is authorized"
C013,ablation,"Both adaptive schedules contribute under a clean canonical ALW denominator",disabled,"A3-A6 component ablation on validation and frozen conference matrix","results/component_ablation.csv",E049,"Experiments","WP04 is closed by the A4 NO-GO; negative evidence is retained without a rescue ablation"
C014,novelty,"SA-ALW has a defensible novelty boundary relative to closest scale-aware prior work",enabled,"Primary-source related-work matrix including SAFit and verified IGWD/GCD metadata","phase_reports/related_work_audit.md;manuscript/references.bib","E033;E038","Introduction;Related Work","Only the exact center-plus-log-shape formulation and separately placed clipped schedules are defensible; no component-level priority claim"
C015,dataset,"Dataset counts, provenance, split grouping, and scale statistics are accurate",pending,"Dataset card, sequence-disjoint manifest, hashes, source-vs-processed counts, and train-only statistics","dataset_card.md;splits/split_manifest.csv;splits/split_audit.json",,"Experiments;Ethics","Do not describe 1374 augmented files as independent sources"
F001,forbidden,"SA-ALW is the first scale-adaptive Gaussian metric",forbidden,"Not permitted at G0; systematic novelty audit would still require narrower wording","phase_reports/related_work_audit.md",E033,"All","SAFit and other target-scale-adaptive measures make any broad first claim indefensible"
F002,forbidden,"SA-ALW is parameter-free",forbidden,"Not permitted; use no additional learnable parameters only after audit","results/efficiency.csv",,"All","Remove from submission manuscript"
F003,forbidden,"SA-ALW is state of the art or consistently superior",forbidden,"Not permitted without comprehensive public benchmark evidence","results/main_results.csv",,"All","Remove from submission manuscript"
F004,forbidden,"SA-ALW is symmetric or jointly scale-invariant",forbidden,"False for target-conditioned schedules based on absolute target scale","method_spec.md;tests/test_alw_saalw.py",,"All","ALW-only properties must not be transferred to SA-ALW"
F005,forbidden,"SA-ALW is detector-agnostic",forbidden,"Not permitted unless a second detector integration passes G1 and G2 and has matched results","results/main_results.csv",,"All","Omit if RetinaNet integration is not audited"
F006,forbidden,"Legacy tile-level or reused-test numbers support a submission claim",forbidden,"Legacy evidence is diagnostic only by scope contract","evidence_ledger.csv",,"All","No exception"
