evidence_id,artifact_pattern,method_family,dataset_or_scope,split_or_stage,evaluation_unit,seeds,status,paper_a_eligible,reason,notes
E001,runs/test_results.json,"SA-ALW consolidated legacy results",SOD-TinyPeopleInSea derivative,test,tile,"42;123;2024",diagnostic_invalid_protocol,no,"Tile-level evaluation, reused test, unverified group split, AP50 checkpoint selection","Values also drift from the legacy LaTeX tables; never use as numeric source"
E002,runs/*/test_metrics.json,"Legacy NWD/IGWD/ALW/SA-ALW and component rows",SOD-TinyPeopleInSea derivative,test,tile,42,diagnostic_invalid_protocol,no,"Tile-level evaluation and reused test; source grouping not audited","Includes old component and metric-chain comparisons"
E003,runs/val_coco.json,"Legacy metric-chain validation summary",SOD-TinyPeopleInSea derivative,validation,tile,42,diagnostic_invalid_protocol,no,"Tile-level evaluator and current split provenance not audited","Useful only for debugging rough method behavior"
E004,"runs/{nwd,igwd,igwd_anisotropic_s,igwd_log_shape,alw_full,sa_alw_beta_only,sa_alw_pos_only,sa_alw_full}*/metrics.csv","Legacy metric training curves",SOD-TinyPeopleInSea derivative,validation,tile,"42;123;2024;3407",diagnostic_invalid_protocol,no,"Current data split and evaluator fail the new submission contract","Training stability may inform G1 but not performance claims"
E005,runs/sa_alw_full__saalw_*__seed42/test_metrics.json,"Legacy threshold assigner",SOD-TinyPeopleInSea derivative,test,tile,42,diagnostic_invalid_protocol,no,"Test reused and placement was tuned outside the new contract","Do not claim HLA dominance from this result"
E006,"runs/{alw_full,sa_alw_beta_only,sa_alw_pos_only,sa_alw_full}__la_loss_nms__seed42/test_metrics.json","Legacy metric-NMS ablation",SOD-TinyPeopleInSea derivative,test,tile,42,diagnostic_invalid_protocol,no,"NMS tested on reused test and not predeclared","Paper A fixes IoU-NMS"
E007,"runs/direct_configs_{valid,test}_sa_alw_full*.json","Legacy direct inference tuning",SOD-TinyPeopleInSea derivative,"validation;test",tile,42,diagnostic_invalid_protocol,no,"Threshold/NMS configuration work touched reused test","Excluded from Paper A"
E008,"runs/frcnn_standard__{full,patches}__seed*/test_metrics.json","Legacy standard Faster R-CNN seeds",SOD-TinyPeopleInSea derivative,test,tile,"42;123;2024",diagnostic_invalid_protocol,no,"Multiple seeds do not repair tile-level evaluation or reused test","Cannot serve as conference baseline"
E009,raw/tiny_object_metrics_comparison_filled*.xlsx,"Historical metric spreadsheet",SOD-TinyPeopleInSea derivative,legacy,test_or_unknown,unknown,diagnostic_invalid_protocol,no,"Non-identical harness and incomplete provenance","Research history only"
E010,raw/sah_gd_hybrid_metrics_comparison*.xlsx,"Historical SAH-GD spreadsheet",SOD-TinyPeopleInSea derivative,legacy,test_or_unknown,unknown,diagnostic_invalid_protocol,no,"Out of Paper A scope and protocol not submission-ready","Research history only"
E011,paper/saalw_experiments.tex,"Legacy manually typed SA-ALW tables",SOD-TinyPeopleInSea derivative,test,tile,42,diagnostic_invalid_protocol,no,"Manually typed values, reused test, wrapped ALW denominator, and numeric drift","Legacy manuscript is not a result ledger"
E012,paper/saalw_main.tex,"Legacy abstract/introduction/conclusion claims",SOD-TinyPeopleInSea derivative,test,tile,42,diagnostic_invalid_protocol,no,"Unsupported superlatives and reused tile-level numbers","Quarantined by paper/README.md and paper_a/README.md"
E013,runs/alw_full__la_loss__seed42/*,"Legacy run labeled ALW full",SOD-TinyPeopleInSea derivative,"train;validation;test",tile,42,diagnostic_invalid_protocol,no,"Implementation includes reliability gating and Charbonnier; not canonical pure ALW","Must not be denominator for SA-ALW gain"
E014,"runs/sa_alw_{full,beta_only,pos_only}__la_loss__seed*/*","Legacy SA-ALW runs",SOD-TinyPeopleInSea derivative,"train;validation;test",tile,"42;123;2024;3407",diagnostic_invalid_protocol,no,"Legacy SA-ALW includes reliability gating and Charbonnier; split/evaluator invalid","Canonical rerun required"
E015,runs/test_coco*_sa_alw_full*.json,"Legacy SA-ALW evaluator checks",SOD-TinyPeopleInSea derivative,"validation;test",tile,42,diagnostic_invalid_protocol,no,"Evaluator checks use legacy tile unit and reused test","Retain for implementation archaeology only"
E016,runs/ap75_analysis_sa_alw_full__la_loss__seed42_valid/*,"Legacy AP75 error analysis",SOD-TinyPeopleInSea derivative,validation,tile,42,diagnostic_invalid_protocol,no,"Useful diagnostic but split and reconstruction contracts are not repaired","May inspire failure taxonomy only"
E017,runs/kaggle_cbl_iterative_train_fair20_best_map50_locked_test.json,"Iterative-CBL fair20 locked test",SOD-TinyPeopleInSea derivative,locked_test,original_image,42,diagnostic_valid_but_test_reused,no,"Test budget consumed and method is outside Paper A scope","Research leader only; never a Paper A claim"
E018,runs/kaggle_cbl_iterative_train_fair20_best_map50_valid_reload.json,"Iterative-CBL fair20 validation reload",SOD-TinyPeopleInSea derivative,validation,original_image,42,validation_evidence,no,"Method is outside Paper A scope","Research log only"
E019,"runs/{ra_tb_cbl,pc_moc_fd,pc_mr_rpn_r2,pc_mhfd}_*_gate_result.json","Post-CBL short matched gates",SOD-TinyPeopleInSea derivative,validation,original_image,"1618;2718;31415",validation_evidence,no,"All methods are outside Paper A scope","Negative results remain recorded"
E020,"runs/{pc_mr_moc,pc_moc_fd,pc_micro_rescue_rpn,ra_tb_pcmhfd}_*{audit,smoke,compatibility}*.json","Post-CBL mechanism and CUDA gates",Research-only,technical_gate,batch_or_validation,"42",validation_evidence,no,"All methods are outside Paper A scope","Mechanism evidence only"
E021,paper/checkpoints/*.md,"Performance-research checkpoints",Research-only,mixed,mixed,mixed,diagnostic_valid_but_test_reused,no,"CBL/ICBL and later branches are outside Paper A; some locked tests consumed","Keep separate from submission package"
E022,eda/Phase0_report.md,"Legacy SOD dataset statistics",SOD-TinyPeopleInSea derivative,eda,source_and_processed,unknown,diagnostic_invalid_protocol,no,"Source-vs-processed counts, group split, provenance, and train-only derivation need audit","May seed the new dataset card but cannot be cited unchanged"
E023,raw/bang-tong-hop-ket-qua-1-12.md,"Historical notebook aggregation",SOD-TinyPeopleInSea derivative,legacy,tile_or_custom,unknown,diagnostic_invalid_protocol,no,"Custom metrics, historical harnesses, and out-of-scope components","Research history only"
E024,paper_a/tests/test_alw_saalw.py,"Canonical ALW/SA-ALW unit tests",Synthetic,technical_gate,aligned_and_pairwise,42,validation_evidence,yes,"Formula, linear/log-linear schedules, numerical behavior, placement guard, and geometry contracts pass 18 tests","Includes CUDA/AMP consistency when CUDA is available"
E025,paper_a/diagnostics/canonical_detector_smoke_seed42.json,"Canonical Faster R-CNN placement smoke",Synthetic,technical_gate,detector_forward_backward,42,validation_evidence,yes,"All three Paper A placements pass AMP forward/backward and joint strict reload with baseline parameter parity","Synthetic schedule is explicitly not frozen for training"
E026,paper_a/splits/split_audit.json,"Legacy SOD derivative split audit",SOD-TinyPeopleInSea derivative,protocol_gate,source_and_sequence,none,validation_evidence,yes,"Deterministic manifest hash and overlap audit reject the current derivative for submission evidence","NO_GO_CURRENT_DERIVATIVE; no final-test access"
E027,paper_a/tests/test_tile_to_original.py,"Tile-to-original reconstruction unit tests",Synthetic,technical_gate,original_image,none,validation_evidence,yes,"Nine tests pass offset inversion, clipping, deduplication, GT preservation, empty images, class handling, and maxDets","Official public-dataset adapters and crowd/ignore tests remain pending"
E028,paper_a/datasets/public_benchmark_sources.md,"Official public benchmark source inventory",TinyPerson;AI-TOD-v2,provenance_gate,original_image,none,validation_evidence,yes,"Primary repositories and evaluator requirements are identified; local dataset copies are not yet acquired or hashed","Availability and licensing must be rechecked at acquisition"
E029,paper_a/datasets/aitodv2_annotation_audit.json,"Official AI-TOD-v2 annotation acquisition and split audit",AI-TOD-v2,protocol_gate,original_image,none,validation_evidence,yes,"Four official annotation files are hashed; filename split contract, categories, loader filters, and train-only scale statistics are audited","Images remain pending, so this is not submission performance evidence and G2 is not ready"
E030,paper_a/tests/test_public_dataset_adapter.py,"Original-image COCO dataset adapter tests",Synthetic,technical_gate,original_image,none,validation_evidence,yes,"Zero-based category remap, official invalid-box filter, crowd routing, and prediction inverse mapping are tested","Public image package and evaluator fixture remain pending"
E031,paper_a/tests/test_aitod_official_evaluator.py,"Pinned AI-TOD-v2 official evaluator fixture",Synthetic,technical_gate,original_image,none,validation_evidence,yes,"Pinned IoU/maxDets/area settings and perfect-box AP/AP50/AP75/tiny AP are reproduced","Runtime-only Cython/NumPy compatibility shim is documented; Kaggle fixture remains mandatory"
E032,paper_a/tests/test_result_pipeline.py,"Artifact-to-table result pipeline tests",Synthetic,technical_gate,ledger,none,validation_evidence,yes,"Matched-seed aggregation and accepted-row seed/checkpoint/manifest guards are deterministic","No submission result exists; generated table source remains empty"
